item_name,is_expense,quantity,sum_of_one
Ford,true,884,3
Chevrolet,true,068,98
Mazda,false,78,15
Toyota,false,42,39
Chevrolet,false,6734,78
Oldsmobile,false,5,88
BMW,true,5,78
Bentley,true,4692,63
Suzuki,false,90,33
Lincoln,false,0,63
Chevrolet,false,15,27
Ford,false,58990,84
GMC,false,63007,24
Toyota,true,791,21
Pontiac,true,84542,71
Mercury,true,352,94
Subaru,false,7241,90
Pontiac,true,34145,65
Toyota,false,29,61
Toyota,true,3,80
Honda,true,9,96
Chevrolet,false,92612,5
Pontiac,false,28,58
Volkswagen,false,78,42
Chevrolet,false,34,47
Chrysler,true,7,58
Mercedes-Benz,true,19504,95
Geo,true,8,1
Chevrolet,true,43674,6
Chevrolet,false,807,73
Chevrolet,false,17,49
Lotus,false,2759,95
Mercury,false,7139,39
Suzuki,false,8,30
Mercury,false,0,15
Audi,true,565,64
Toyota,false,20,34
Ford,false,81283,77
Chrysler,false,064,9
Porsche,false,82542,72
Buick,false,260,27
Pontiac,true,111,80
Saturn,true,188,91
Dodge,true,010,5
Lexus,true,33312,73
Jeep,false,423,47
Ford,false,843,95
Buick,true,08550,7
Toyota,false,4,10
Cadillac,true,5869,37
Honda,true,727,35
GMC,true,74992,46
Pontiac,true,2,10
Infiniti,true,57696,73
Nissan,true,82,63
Ford,true,5,78
Toyota,true,148,99
Audi,true,554,92
Lincoln,false,0623,35
Toyota,false,2,54
GMC,false,1083,24
Lincoln,true,35069,67
Saab,true,99374,13
Pontiac,false,91,66
Ford,true,4517,38
Toyota,true,7681,79
Land Rover,false,9299,28
Volkswagen,false,4,16
Lexus,false,86,65
BMW,false,0675,75
Chevrolet,true,9,99
Lincoln,true,569,75
Volkswagen,false,1486,41
Honda,true,73,35
Jeep,false,3,87
Toyota,false,45,87
Chevrolet,true,76467,6
Mitsubishi,true,27860,38
Ford,false,353,65
GMC,false,62626,93
Toyota,true,71865,96
Mazda,true,3058,66
BMW,true,7545,74
Cadillac,true,948,62
Nissan,false,3681,85
Buick,false,9,9
GMC,false,2776,5
Pontiac,false,396,11
Mazda,false,19,57
GMC,true,89654,3
Toyota,false,225,85
Toyota,true,99485,90
Mitsubishi,true,099,79
Mitsubishi,true,980,80
Toyota,false,07164,42
Ford,false,9162,1
GMC,true,76899,22
Mazda,false,03193,94
Bentley,true,4,28
GMC,true,971,4
Porsche,true,8,58
Honda,false,75,54
Oldsmobile,true,74078,41
Toyota,false,85370,13
Infiniti,false,550,50
Mazda,false,135,10
Toyota,false,1873,2
Mazda,true,07,11
Ford,false,9704,69
Porsche,true,0951,31
Buick,false,6,12
Volkswagen,false,57,26
Volkswagen,false,9485,28
Mercedes-Benz,true,76451,6
Toyota,true,930,87
Ford,false,15946,35
Plymouth,true,05278,45
Lotus,false,20,63
Pontiac,true,01999,31
Chevrolet,true,49832,85
Lexus,true,4,93
Honda,true,42637,57
Pontiac,false,305,30
Buick,true,6669,37
Mercedes-Benz,false,4093,27
BMW,true,8,37
GMC,false,15,55
Cadillac,false,5893,76
Buick,false,34362,4
Nissan,false,61011,94
Chevrolet,true,32173,27
Mercury,false,928,48
Volkswagen,true,2,45
Mercedes-Benz,true,939,53
Lexus,false,21,75
Saab,false,1,32
Kia,false,061,90
GMC,false,98,14
Mitsubishi,true,18414,21
BMW,true,01,4
Nissan,true,177,72
Chevrolet,true,662,10
Maserati,true,62,18
Land Rover,true,5563,96
Cadillac,false,50113,81
Audi,false,17,91
Mercury,false,0,40
Nissan,false,1,98
Ford,false,63,63
Hyundai,false,6897,10
Honda,false,9,1
Audi,false,89961,51
Mercedes-Benz,true,9,98
Cadillac,false,59917,3
Lamborghini,false,762,85
Kia,true,60476,71
Kia,false,52465,53
Honda,false,1088,79
Toyota,false,76467,82
Mercedes-Benz,false,24,91
Chevrolet,false,85345,9
Suzuki,true,2862,14
Maybach,true,55326,41
Ford,true,6103,12
Dodge,true,214,21
Acura,true,76,52
Mercury,false,63397,23
Subaru,false,93795,77
Toyota,false,75855,56
Bugatti,false,0,22
Bentley,true,21,79
Mercedes-Benz,false,030,92
Mercedes-Benz,true,19549,17
Suzuki,false,484,26
Plymouth,false,11,29
Acura,true,950,24
GMC,false,607,84
Buick,false,7892,62
BMW,false,8898,33
Jeep,true,673,32
Hummer,false,753,51
BMW,false,19569,90
Mazda,false,16,78
Aptera,true,53354,93
GMC,false,3552,70
Subaru,false,04,49
Chevrolet,true,4,71
Honda,true,220,93
Geo,true,1993,52
Dodge,false,29,97
Land Rover,true,9755,5
BMW,true,744,13
Ford,false,9031,68
Cadillac,true,0908,46
Chevrolet,true,99795,43
Chevrolet,true,079,61
Toyota,false,82856,17
Lexus,false,75,3
Plymouth,true,5,35
Mitsubishi,false,3708,64
Toyota,true,5911,8
Saturn,false,20,67
Mitsubishi,false,934,42
Toyota,false,15,32
Chevrolet,false,6,92
Chevrolet,true,79,49
Porsche,false,2717,36
Chevrolet,true,226,29
Buick,false,7,69
Toyota,true,48345,19
Mitsubishi,true,42,3
Mercedes-Benz,false,6708,59
Honda,true,2930,39
Lexus,true,26812,6
Mitsubishi,false,1,52
GMC,true,57,92
Toyota,true,4,55
Dodge,true,0693,37
Lexus,false,77,88
Buick,false,7063,76
Acura,true,05,50
Mazda,false,90,23
Chrysler,true,87520,4
Acura,true,02978,90
Mercury,true,1520,69
Audi,false,1,85
Dodge,false,0955,80
Buick,true,6,5
Chevrolet,false,3,2
Acura,true,4923,78
Ferrari,false,14,4
GMC,true,292,13
Land Rover,false,80,76
Dodge,true,291,84
Lincoln,true,03,38
Toyota,false,6,42
Lexus,true,9027,79
GMC,false,88,5
Infiniti,true,63410,12
Volvo,false,66,30
Chevrolet,true,670,36
Volvo,false,4766,97
Chevrolet,false,909,39
Chevrolet,false,09291,14
Mitsubishi,true,0108,15
Geo,false,792,8
BMW,true,27279,20
GMC,true,0422,32
Jaguar,true,537,30
Pontiac,false,5086,100
Cadillac,true,824,55
Aston Martin,false,18623,82
Jaguar,false,81332,40
Land Rover,true,5127,99
BMW,true,0,40
Buick,true,38373,44
Subaru,true,79379,55
Mitsubishi,false,8643,16
Lotus,false,1,23
BMW,true,0600,47
Volkswagen,false,89608,100
Nissan,false,9,84
Porsche,false,123,27
Lexus,true,67729,21
Chrysler,false,04033,32
Porsche,false,3,4
Land Rover,false,21,14
Lexus,false,9479,20
Nissan,false,110,59
Suzuki,false,3,74
Suzuki,false,180,3
Dodge,false,9347,91
Nissan,true,804,93
Mitsubishi,false,65574,28
Lotus,true,58047,80
Volkswagen,false,5,16
Mazda,true,28,36
Mitsubishi,true,3,53
Dodge,true,4837,73
MINI,true,96289,94
Audi,true,0,28
Mitsubishi,true,274,14
Toyota,false,4,54
Chevrolet,false,03179,16
Mercedes-Benz,true,1584,3
Cadillac,false,10481,29
Porsche,false,69,70
Mercedes-Benz,false,03457,54
Pontiac,false,7,86
Dodge,false,6416,80
Ford,true,717,95
Porsche,false,86,97
Audi,true,848,46
Acura,false,52014,84
Chevrolet,true,47,34
Mitsubishi,false,5877,36
Mazda,false,02776,35
Honda,true,485,53
Toyota,true,1865,76
GMC,true,00,100
Hyundai,true,5,74
Volkswagen,false,87,74
Dodge,false,5549,54
Chevrolet,false,49,11
Chevrolet,false,45776,39
Audi,false,92,67
Mitsubishi,true,95,6
Acura,false,9,85
Nissan,false,60726,28
Subaru,false,1,98
GMC,true,147,91
Audi,true,3,86
Suzuki,false,03582,3
Mitsubishi,true,52238,2
Jaguar,false,2335,50
Mitsubishi,false,1345,36
Ford,false,5128,88
Hyundai,false,8131,61
Ford,false,8167,68
Volkswagen,true,3614,53
Ford,true,88817,93
Lincoln,true,4044,81
GMC,true,2,3
Mitsubishi,true,38,86
Dodge,true,8,79
Ford,false,314,94
Nissan,true,13,57
Mercury,true,13646,91
Chevrolet,false,755,14
Cadillac,true,34913,40
Dodge,false,15711,97
Mitsubishi,true,3054,76
GMC,false,868,38
Buick,false,27,36
Honda,false,42912,49
BMW,false,423,30
Pontiac,true,4040,69
Volvo,false,6,74
Dodge,false,86073,25
Kia,true,3353,89
Mercedes-Benz,false,37,23
Mazda,false,38,99
Ford,true,9647,42
Volvo,false,79,60
Buick,true,3072,16
Plymouth,true,0223,13
Hyundai,false,13,63
Mercury,true,94112,55
Scion,true,47583,71
Cadillac,true,6453,67
Toyota,false,6149,16
Lamborghini,true,8035,35
GMC,false,817,14
Dodge,false,48443,33
Ford,true,6370,51
BMW,false,1949,33
Buick,true,90097,67
Jensen,false,51039,38
Plymouth,true,23071,71
Toyota,false,61810,9
Bentley,true,13,48
GMC,false,20356,4
Lamborghini,false,6745,39
Toyota,true,4881,83
Aston Martin,true,2,58
Suzuki,true,3,59
Kia,true,777,68
Nissan,true,1975,85
BMW,false,45,76
Chrysler,false,88308,5
Mitsubishi,true,125,64
Toyota,false,204,67
Oldsmobile,false,6345,40
Volvo,true,56,93
Volkswagen,false,42720,22
Audi,true,846,96
Chevrolet,false,85,88
Geo,true,1,65
Lexus,true,43,16
Scion,true,85684,57
BMW,false,477,78
Audi,true,5706,85
Volkswagen,true,74623,38
Land Rover,false,9,12
Ford,false,6,45
Cadillac,false,4,72
Honda,false,810,43
Subaru,true,33298,27
Chevrolet,true,9,26
Audi,false,86598,86
GMC,false,694,78
Oldsmobile,false,0,90
Subaru,true,285,49
Chrysler,false,225,5
Pontiac,false,2,88
Pontiac,true,48304,60
Infiniti,false,134,3
Dodge,true,53,47
Bentley,false,7785,78
Mercury,true,82,94
Mazda,false,3,76
Acura,true,63827,100
Chrysler,true,56144,89
Chevrolet,true,5,60
GMC,false,13,28
Austin,false,90,95
Pontiac,false,209,56
Mitsubishi,true,46,5
Maserati,false,44061,69
Chevrolet,false,42948,78
Rolls-Royce,false,9702,12
Scion,true,219,24
Infiniti,false,0649,64
Ford,false,7,39
Porsche,false,1569,44
Honda,true,4306,93
Plymouth,true,3337,15
Lincoln,false,226,26
Toyota,true,9294,61
Ford,true,1688,9
Aston Martin,false,8511,96
Isuzu,true,37772,85
Nissan,true,62784,41
Infiniti,true,74420,87
Mercedes-Benz,false,37,17
Mitsubishi,true,007,34
Volvo,false,782,25
Nissan,false,45455,99
Audi,true,0643,6
Mazda,true,1924,91
BMW,true,717,15
Hummer,true,742,89
Chevrolet,false,5090,1
Mazda,false,1,40
BMW,true,6,81
Oldsmobile,true,534,4
Mitsubishi,true,40322,57
Toyota,false,4312,82
Hyundai,true,25267,12
Mercury,false,64,98
Dodge,false,85164,37
Kia,false,86441,98
Land Rover,false,3,88
Nissan,false,80353,37
Kia,false,4484,58
Chevrolet,false,31849,50
Volvo,false,8,18
Buick,true,5,80
Toyota,false,117,25
BMW,false,50929,45
GMC,true,68,58
Mitsubishi,false,87790,66
GMC,false,76,2
Porsche,false,10,89
Audi,false,77,69
Dodge,true,77,41
Nissan,true,8356,24
Ram,true,7626,50
Suzuki,false,9761,46
GMC,false,62762,30
Lamborghini,false,51001,15
Infiniti,true,054,93
Acura,true,1,75
Ford,false,6263,27
Pontiac,false,59559,100
Hyundai,false,27,32
Ford,false,2,88
Mazda,false,0103,2
Lamborghini,true,5,60
Mercedes-Benz,true,68,35
Subaru,false,021,85
Lincoln,true,1,100
Lexus,false,64412,8
Mercedes-Benz,true,286,19
Jeep,true,7,81
Chevrolet,true,2137,75
Honda,false,0908,79
Plymouth,true,12,90
BMW,false,66,22
Chevrolet,true,5969,1
Ford,false,22125,27
Pontiac,true,513,46
Daewoo,true,20,19
Ford,true,137,52
Ford,false,04,84
Chevrolet,true,119,76
Audi,true,43,11
Audi,false,04,11
Ford,false,71,93
Honda,true,64,30
Dodge,false,17,10
Hyundai,true,49738,60
Mazda,false,902,52
Volkswagen,false,47147,66
Chevrolet,true,40,95
Mercedes-Benz,true,92557,50
Mercedes-Benz,true,8363,67
Volkswagen,true,78026,97
GMC,true,954,79
Isuzu,true,899,36
Mazda,false,70,65
Mercedes-Benz,false,87,45
Chevrolet,true,42,29
Mitsubishi,false,066,98
Kia,true,67,31
Chevrolet,true,4,32
Lincoln,false,7846,12
Mercedes-Benz,false,784,19
GMC,true,743,53
Volkswagen,false,4,70
Chevrolet,false,2079,22
Corbin,false,88175,51
Volkswagen,false,02,16
Pontiac,true,78745,4
Mercedes-Benz,true,30,23
Mercedes-Benz,false,62,59
Chevrolet,true,89,54
Dodge,true,25,27
Lamborghini,false,45,50
Chevrolet,true,72,92
Ford,false,7,74
Mercury,false,12,14
Toyota,false,97,100
Volkswagen,false,51,66
Land Rover,false,923,7
Ford,false,5,3
Land Rover,false,0658,18
MINI,true,06,51
Mercury,false,52639,58
BMW,true,73,58
Nissan,false,3342,3
Chevrolet,true,0550,11
Ford,true,66623,43
Toyota,true,843,66
Acura,false,3,13
Ford,true,6,14
Ford,false,8,96
Mercury,true,11,59
Mercedes-Benz,false,62429,91
Infiniti,true,5191,73
Dodge,true,63162,62
Toyota,true,323,63
Porsche,true,94,14
Dodge,false,9,54
Land Rover,true,4,49
Mercury,false,97524,9
Mazda,false,8298,10
Pontiac,false,15075,7
Pontiac,false,17,93
Mitsubishi,true,5,29
Jaguar,false,18306,56
Chevrolet,true,566,24
Nissan,true,84080,78
Nissan,false,2265,36
Saab,false,9107,86
BMW,false,0339,95
Scion,true,53005,38
Isuzu,false,735,18
Ford,false,281,19
Mercedes-Benz,false,65539,1
Suzuki,true,6,12
Audi,false,25160,93
Pontiac,true,38148,48
Subaru,false,8,11
Chevrolet,false,42,63
Ford,true,48982,9
Subaru,true,55,29
Suzuki,true,90,14
Dodge,true,232,93
Land Rover,false,9185,61
Cadillac,false,1531,22
Pontiac,true,63255,46
Hyundai,false,0,53
Renault,true,72485,67
Mercedes-Benz,true,18515,54
Ford,false,1928,47
Honda,false,1988,43
Hyundai,false,86,68
Ford,true,976,31
Nissan,false,272,27
Hyundai,false,41,9
BMW,true,60,95
Lexus,true,410,5
Chevrolet,true,8969,50
Pontiac,false,76,59
Dodge,false,9,3
GMC,true,5650,88
Chrysler,true,73,31
Honda,true,83371,21
Volkswagen,true,2,16
Subaru,false,8,92
Land Rover,true,2792,51
Mazda,true,32261,89
Lotus,false,709,89
Dodge,false,734,28
Mazda,true,59,69
Dodge,true,1592,61
Dodge,false,84,44
Pontiac,false,6619,85
GMC,false,679,34
Honda,true,770,3
Subaru,false,3,49
Dodge,false,85,33
Honda,false,5,73
Mercedes-Benz,true,757,18
Dodge,false,106,55
Pontiac,true,283,21
Saab,false,6,51
Isuzu,true,9800,63
Land Rover,true,0,10
Mitsubishi,true,79125,4
Buick,false,7758,73
Hyundai,false,75,32
Toyota,true,40274,17
GMC,false,452,43
Dodge,false,16895,16
Mitsubishi,true,444,90
Audi,true,782,94
Ford,true,91,1
Jeep,true,575,100
Audi,false,9,77
Pontiac,false,4,77
Plymouth,false,65,25
Chevrolet,true,9,53
Mazda,true,99,42
Infiniti,true,20,78
Land Rover,false,5,32
Toyota,false,4,70
BMW,false,6120,83
Mitsubishi,true,85478,8
Ford,false,181,45
Ford,false,52,56
Dodge,false,8642,56
Saab,true,557,63
Ford,false,99762,14
Chevrolet,true,7,14
Ford,false,14334,93
Ford,true,761,35
Ferrari,true,80,27
Buick,false,07,14
Hyundai,false,23121,74
Ford,true,4,13
Maserati,true,55,21
Subaru,false,26,22
Mitsubishi,false,512,10
Volvo,true,86,68
Dodge,true,0365,3
Chevrolet,false,8906,11
Geo,true,73677,12
Lexus,true,9,87
Mercury,true,470,76
Aston Martin,true,9140,89
Dodge,true,3,23
Audi,false,37,18
Mercedes-Benz,false,4779,70
Lexus,true,453,98
Ford,true,45,58
Mitsubishi,false,27,85
Toyota,false,88680,90
Lincoln,false,6,18
Mitsubishi,true,769,7
Chevrolet,true,85667,70
Nissan,false,7659,80
Mazda,false,794,42
Mitsubishi,true,41097,89
Mercury,false,17,14
Toyota,false,9712,56
Acura,false,701,86
Spyker,false,35291,20
MINI,false,46496,99
Pontiac,true,256,6
Bentley,false,18994,46
Maybach,true,97,4
BMW,true,6,47
Mazda,false,31454,75
Kia,false,5,67
BMW,false,14,50
Ford,false,615,81
Maybach,true,29743,59
Subaru,false,063,16
GMC,false,9227,19
Porsche,true,865,48
Mitsubishi,false,0,9
Pontiac,false,79725,25
Cadillac,true,8,25
Ford,false,54726,5
Ford,true,84280,12
